[ 2025-07-07 18:56:24,069 ] [ PARSER_XML ][ INFO ] Initialized a new Parser object. Name of the thread is ParserGUI
[ 2025-07-07 19:12:37,249 ] [ PARSER_XML ][ INFO ] Extracted a gz file C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\GExport_LNDS1171_The-Center_10.6.16.97_20250701021018.xml.gz
[ 2025-07-07 19:12:37,251 ] [ PARSER_XML ][ INFO ] Processing file number (000/001)
[ 2025-07-07 19:12:38,064 ] [ PARSER_XML ][ INFO ] Exporting files to C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1912
[ 2025-07-07 19:12:38,064 ] [ PARSER_XML ][ INFO ] NE Date found is : 20250701
[ 2025-07-07 19:13:02,091 ] [ PARSER_XML ][ INFO ] All files have been processed.
[ 2025-07-07 19:14:06,833 ] [ PARSER_XML ][ INFO ] Initialized a new Parser object. Name of the thread is ParserGUI
[ 2025-07-07 19:14:06,834 ] [ PARSER_XML ][ WARNING ] Date filter is overridden. Will use this filter for directory. 2025
[ 2025-07-07 19:14:06,834 ] [ PARSER_XML ][ INFO ] Total files to be processed are : 1
[ 2025-07-07 19:14:06,951 ] [ PARSER_XML ][ INFO ] Extracted a gz file C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\GExport_LNDS1171_The-Center_10.6.16.97_20250701021018.xml.gz
[ 2025-07-07 19:14:06,951 ] [ PARSER_XML ][ INFO ] Processing file number (000/001)
[ 2025-07-07 19:14:07,709 ] [ PARSER_XML ][ INFO ] Exporting files to C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1913
[ 2025-07-07 19:15:05,451 ] [ PARSER_XML ][ INFO ] NE Date found is : 20250701
[ 2025-07-07 19:17:53,239 ] [ PARSER_XML ][ INFO ] Initialized a new Parser object. Name of the thread is ParserGUI
[ 2025-07-07 19:17:53,239 ] [ PARSER_XML ][ WARNING ] Date filter is overridden. Will use this filter for directory. 2025
[ 2025-07-07 19:17:53,239 ] [ PARSER_XML ][ INFO ] Total files to be processed are : 1
[ 2025-07-07 19:17:53,300 ] [ PARSER_XML ][ INFO ] Extracted a gz file C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\GExport_LNDS1171_The-Center_10.6.16.97_20250701021018.xml.gz
[ 2025-07-07 19:17:53,300 ] [ PARSER_XML ][ INFO ] Processing file number (000/001)
[ 2025-07-07 19:17:54,045 ] [ PARSER_XML ][ INFO ] Exporting files to C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1917
[ 2025-07-07 19:17:54,045 ] [ PARSER_XML ][ INFO ] NE Date found is : 20250701
[ 2025-07-07 19:17:54,050 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1917\1-BTS5900
[ 2025-07-07 19:17:54,084 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1917\1-BTS5900
[ 2025-07-07 19:17:54,084 ] [ PARSER_XML ][ ERROR ] An Exception occurred in the main export_all_tables function. [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\ALI.MANSOOR\\Downloads\\TEMP_DELETE\\Huawei MR Data 2025-06-15\\dumpparsing\\output\\20250707_1917\\1-BTS5900'
[ 2025-07-07 19:17:55,560 ] [ PARSER_XML ][ INFO ] All files have been processed.
[ 2025-07-07 19:18:21,490 ] [ PARSER_XML ][ INFO ] Initialized a new Parser object. Name of the thread is ParserGUI
[ 2025-07-07 19:18:21,490 ] [ PARSER_XML ][ WARNING ] Date filter is overridden. Will use this filter for directory. 2025
[ 2025-07-07 19:18:21,490 ] [ PARSER_XML ][ INFO ] Total files to be processed are : 1
[ 2025-07-07 19:18:21,563 ] [ PARSER_XML ][ INFO ] Extracted a gz file C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\GExport_LNDS1171_The-Center_10.6.16.97_20250701021018.xml.gz
[ 2025-07-07 19:18:21,570 ] [ PARSER_XML ][ INFO ] Processing file number (000/001)
[ 2025-07-07 19:18:22,399 ] [ PARSER_XML ][ INFO ] Exporting files to C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1918
[ 2025-07-07 19:18:22,399 ] [ PARSER_XML ][ INFO ] NE Date found is : 20250701
[ 2025-07-07 19:18:22,407 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1918\1-BTS5900
[ 2025-07-07 19:18:22,427 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1918\1-BTS5900
[ 2025-07-07 19:18:22,430 ] [ PARSER_XML ][ ERROR ] An Exception occurred in the main export_all_tables function. [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\ALI.MANSOOR\\Downloads\\TEMP_DELETE\\Huawei MR Data 2025-06-15\\dumpparsing\\output\\20250707_1918\\1-BTS5900'
[ 2025-07-07 19:18:45,244 ] [ PARSER_XML ][ INFO ] All files have been processed.
[ 2025-07-07 19:20:13,949 ] [ PARSER_XML ][ INFO ] Initialized a new Parser object. Name of the thread is ParserGUI
[ 2025-07-07 19:20:13,949 ] [ PARSER_XML ][ WARNING ] Date filter is overridden. Will use this filter for directory. 2025
[ 2025-07-07 19:20:13,949 ] [ PARSER_XML ][ INFO ] Total files to be processed are : 1
[ 2025-07-07 19:20:14,021 ] [ PARSER_XML ][ INFO ] Extracted a gz file C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\GExport_LNDS1171_The-Center_10.6.16.97_20250701021018.xml.gz
[ 2025-07-07 19:20:14,024 ] [ PARSER_XML ][ INFO ] Processing file number (000/001)
[ 2025-07-07 19:20:14,792 ] [ PARSER_XML ][ INFO ] Exporting files to C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920
[ 2025-07-07 19:20:14,792 ] [ PARSER_XML ][ INFO ] NE Date found is : 20250701
[ 2025-07-07 19:20:14,795 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:14,819 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:14,839 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:14,858 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:14,878 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:14,889 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:14,909 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:14,926 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:14,954 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:14,972 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:14,989 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,012 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,029 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,047 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,071 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,089 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,128 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,148 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,167 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,187 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,219 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,269 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,285 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,345 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,369 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,392 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,413 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,428 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,439 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,463 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,482 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,503 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,513 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,534 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,559 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,581 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,605 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,632 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,656 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,675 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,696 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,718 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,739 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,761 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,784 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,834 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,864 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,898 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,919 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,941 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,967 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:15,989 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,009 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,028 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,051 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,072 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,097 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,120 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,159 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,182 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,209 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,234 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,252 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,279 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,299 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,321 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,344 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,367 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,389 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,411 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,435 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,466 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,503 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,519 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,541 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
